               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11447,            0.023389,            0.064447,           0.0003813,            0.022008,          0.00016861,          3.3765e-05,               0.107,            0.027677,            0.067371,            0.001375,            0.001375,            0.076375
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11447,            0.023389,            0.064447,           0.0003813,            0.022008,          0.00016861,          3.3765e-05,               0.107,            0.027677,            0.067371,            0.001375,            0.001375,            0.076375
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11447,            0.023389,            0.064447,           0.0003813,            0.022008,          0.00016861,          3.3765e-05,               0.107,            0.027677,            0.067371,            0.001375,            0.001375,            0.076375
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11447,            0.023389,            0.064447,           0.0003813,            0.022008,          0.00016861,          3.3765e-05,               0.107,            0.027677,            0.067371,            0.001375,            0.001375,            0.076375
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11297,            0.023369,            0.063719,          6.4392e-05,            0.003861,           2.581e-05,          5.1621e-06,             0.10502,            0.028131,            0.066698,            0.002275,            0.002275,            0.077275
                   2,             0.10302,            0.022063,            0.059074,          0.00038594,            0.055309,          0.00027323,          6.2609e-05,             0.10435,            0.025424,            0.063516,            0.003116,            0.003116,            0.065116
                   3,             0.09459,            0.023201,            0.052772,             0.42922,            0.003861,          0.00023555,          4.2845e-05,            0.096299,            0.027267,            0.058227,            0.003723,            0.003723,            0.052723
                   4,            0.088671,            0.025346,            0.049356,             0.71877,            0.037452,           0.0027323,          0.00045167,            0.087854,            0.029336,            0.059281,            0.004096,            0.004096,            0.040096
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,              0.1138,            0.023388,            0.064109,          0.00032792,            0.007722,          6.5653e-05,          1.9696e-05,             0.10613,            0.027877,            0.067048,             0.00175,             0.00175,             0.07675
                   2,             0.10639,            0.021949,            0.061003,          0.00023446,            0.025869,          0.00014376,          3.6145e-05,             0.10248,            0.027619,            0.065137,             0.00152,             0.00152,             0.06352
                   0,             0.12345,            0.025947,            0.069133,           0.0021836,            0.017857,          0.00050079,          5.0079e-05,             0.11184,            0.029437,              0.0703,              0.0012,              0.0012,              0.0892
                   1,             0.11297,            0.023369,            0.063719,          6.4392e-05,            0.003861,           2.581e-05,          5.1621e-06,             0.10502,            0.028131,            0.066698,            0.002275,            0.002275,            0.077275
                   2,             0.10302,            0.022063,            0.059074,          0.00038594,            0.055309,          0.00027323,          6.2609e-05,             0.10435,            0.025424,            0.063516,            0.003116,            0.003116,            0.065116
                   3,             0.09459,            0.023201,            0.052772,             0.42922,            0.003861,          0.00023555,          4.2845e-05,            0.096299,            0.027267,            0.058227,            0.003723,            0.003723,            0.052723
                   4,            0.088671,            0.025346,            0.049356,             0.71877,            0.037452,           0.0027323,          0.00045167,            0.087854,            0.029336,            0.059281,            0.004096,            0.004096,            0.040096
                   5,            0.082921,            0.025189,            0.045879,            0.009658,             0.18346,           0.0062706,           0.0015345,            0.081743,            0.030286,             0.05682,            0.004235,            0.004235,            0.027235
                   6,            0.081308,            0.024925,             0.04646,             0.72031,            0.052896,           0.0026942,          0.00079028,             0.10129,            0.021723,            0.056872,             0.00414,             0.00414,             0.01414
                   7,            0.072904,            0.025921,            0.045956,             0.58149,            0.015444,            0.005071,            0.001055,            0.088689,            0.023647,            0.055822,              0.0037,              0.0037,              0.0037
                   8,            0.069992,            0.027233,            0.046298,             0.59755,            0.019305,            0.013158,           0.0037825,            0.087889,            0.023603,            0.054763,              0.0037,              0.0037,              0.0037
                   9,            0.067457,            0.023986,            0.043214,             0.34389,            0.067746,            0.021878,           0.0082353,            0.086783,            0.023776,            0.054375,              0.0028,              0.0028,              0.0028
